tok	changepoint_idx	start_idx	end_idx	value
mat3	2012-2013	2011-2012	2012-2013	11.650112464539662
cdra	2014-2015	2011-2012	2014-2015	9.962551184583864
pvpa	2019-2020	2018-2019	2019-2020	13.10498845646434
gene_211468	2015-2016	2013-2014	2015-2016	10.78541807196254
species_141976	2012-2013	2010-2011	2012-2013	10.57824775490661
gene_84013	2012-2013	2011-2012	2012-2013	10.307658539520641
gene_403418	2016-2017	2015-2016	2016-2017	11.851779811595968
gene_55982	2011-2012	2010-2011	2011-2012	15.064095232559094
gene_107895	2015-2016	2014-2015	2015-2016	11.782580966305533
gene_854675	2015-2016	2014-2015	2015-2016	12.398688616285607
humanin	2012-2013	2010-2011	2012-2013	11.93885331181592
hhrz	2015-2016	2014-2015	2015-2016	12.413092534430424
species_154334	2017-2018	2010-2011	2017-2018	9.872568031244166
chnri	2015-2016	2011-2012	2015-2016	14.008307972018837
gt3x	2011-2012	2010-2011	2011-2012	11.259573330642528
gene_404281	2019-2020	2010-2011	2019-2020	14.368635196238976
gene_36999	2017-2018	2013-2014	2017-2018	12.165404718831361
taccalonolide	2012-2013	2011-2012	2012-2013	10.46775059646278
gene_17391	2015-2016	2014-2015	2015-2016	14.840131446134015
gene_19335	2019-2020	2010-2011	2019-2020	16.214625340781385
gene_27346	2015-2016	2010-2011	2015-2016	10.368820690918788
tmse	2017-2018	2012-2013	2017-2018	11.457710093798923
gene_22827	2011-2012	2010-2011	2011-2012	16.0115138686187
eppi	2011-2012	2010-2011	2011-2012	9.936382637575488
ctp1	2015-2016	2014-2015	2015-2016	12.791132181523585
gene_72461	2017-2018	2010-2011	2017-2018	11.926725540789018
gene_851424	2020-2021	2010-2011	2020-2021	11.336665019993825
jp-8	2015-2016	2014-2015	2015-2016	9.853312202341904
ns/	2016-2017	2015-2016	2016-2017	12.490403766915989
gene_33726	2013-2014	2012-2013	2013-2014	10.68645225878648
abetaos	2012-2013	2011-2012	2012-2013	11.45882046662014
symbiote	2013-2014	2012-2013	2013-2014	10.347048350575285
gene_33611	2011-2012	2010-2011	2011-2012	23.859599939099894
gene_3915	2011-2012	2010-2011	2011-2012	18.02911156501799
implementacion	2016-2017	2015-2016	2016-2017	26.11044069322744
5bsl3.2	2012-2013	2010-2011	2012-2013	16.305237445606224
5bsl3.2	2016-2017	2015-2016	2016-2017	18.538649066517173
gene_12808	2019-2020	2013-2014	2019-2020	9.770216918343818
cmpd	2014-2015	2013-2014	2014-2015	20.071783014312267
cmpd	2016-2017	2015-2016	2016-2017	13.90277482800576
gene_177513	2018-2019	2017-2018	2018-2019	10.384108118371222
zellen	2019-2020	2018-2019	2019-2020	12.331508205362113
betab2	2011-2012	2010-2011	2011-2012	12.199735093497951
gene_36377	2014-2015	2013-2014	2014-2015	12.58220307937224
gene_33683	2015-2016	2013-2014	2015-2016	20.51391619853522
gene_9398	2015-2016	2014-2015	2015-2016	10.997309884592504
gene_53860	2017-2018	2014-2015	2017-2018	10.73956800205477
gene_3565633	2017-2018	2014-2015	2017-2018	13.510682319819308
species_183674	2011-2012	2010-2011	2011-2012	13.17608454921291
gene_42594	2018-2019	2015-2016	2018-2019	16.163210492705137
dz1	2012-2013	2010-2011	2012-2013	10.450089434117732
fuhren	2019-2020	2018-2019	2019-2020	11.004180480455378
p2x3r	2014-2015	2013-2014	2014-2015	11.06296518714923
wichtige	2019-2020	2018-2019	2019-2020	14.46328517515452
gene_944569	2011-2012	2010-2011	2011-2012	17.824652033886988
gene_81632	2019-2020	2018-2019	2019-2020	14.073225434983051
dubm	2011-2012	2010-2011	2011-2012	10.538814695863765
phbh	2017-2018	2014-2015	2017-2018	12.310551264593277
gene_856739	2013-2014	2012-2013	2013-2014	11.90798545365103
gene_396323	2014-2015	2013-2014	2014-2015	13.923905515278825
species_2250700	2014-2015	2011-2012	2014-2015	11.126042179258143
acnb	2013-2014	2012-2013	2013-2014	10.808115122868593
gene_41704	2014-2015	2010-2011	2014-2015	13.407666760128155
gene_619469	2012-2013	2011-2012	2012-2013	11.074451362930777
gene_85409	2014-2015	2013-2014	2014-2015	10.275181627519405
padc	2016-2017	2015-2016	2016-2017	12.769396023653425
lepton	2011-2012	2010-2011	2011-2012	13.384783003277548
gene_83417	2016-2017	2015-2016	2016-2017	11.214414351321984
microtomentose	2011-2012	2010-2011	2011-2012	17.62862636009341
gene_54199	2016-2017	2013-2014	2016-2017	11.676077214031391
rwc	2011-2012	2010-2011	2011-2012	10.854861596708048
sdpp	2013-2014	2012-2013	2013-2014	13.216127496000942
gene_16593	2016-2017	2012-2013	2016-2017	9.888348369158077
biat	2017-2018	2016-2017	2017-2018	27.761802887143766
species_12162	2012-2013	2010-2011	2012-2013	11.284447596392933
anfh	2013-2014	2012-2013	2013-2014	11.72598125641613
table3	2011-2012	2010-2011	2011-2012	9.77040236517978
gene_233489	2011-2012	2010-2011	2011-2012	10.473432487144391
thiazolidine-4	2013-2014	2010-2011	2013-2014	10.18488746922569
escn	2014-2015	2010-2011	2014-2015	14.900359971687102
dmas	2016-2017	2014-2015	2016-2017	10.344789361418936
bimatoprost	2018-2019	2017-2018	2018-2019	19.148220970566587
gene_51285	2011-2012	2010-2011	2011-2012	11.445864468926853
gene_57555	2012-2013	2011-2012	2012-2013	15.492079585007097
gene_57555	2016-2017	2015-2016	2016-2017	11.434077479289462
gene_10787	2018-2019	2017-2018	2018-2019	25.114393946032127
ps1145	2018-2019	2015-2016	2018-2019	9.883000771881283
gene_23640	2019-2020	2011-2012	2019-2020	10.52410497052553
buc	2016-2017	2015-2016	2016-2017	10.517221687161761
gene_9545	2014-2015	2013-2014	2014-2015	10.517193101323498
ht1080	2018-2019	2010-2011	2018-2019	11.518505692214134
species_97693	2019-2020	2012-2013	2019-2020	13.002481501358357
d4r	2011-2012	2010-2011	2011-2012	11.053464285698194
gene_863	2011-2012	2010-2011	2011-2012	30.04658835294169
huaec	2016-2017	2015-2016	2016-2017	17.209116411993943
gene_100035631	2011-2012	2010-2011	2011-2012	13.989243620246816
gene_58950	2017-2018	2012-2013	2017-2018	10.335526592177873
cspalpha	2016-2017	2015-2016	2016-2017	28.088878850288193
gene_15531	2013-2014	2010-2011	2013-2014	11.9457199864595
gene_387141	2011-2012	2010-2011	2011-2012	10.265598022168824
gene_387141	2019-2020	2018-2019	2019-2020	10.2718905197686
gene_20890	2014-2015	2012-2013	2014-2015	9.99516357001273
gene_10437	2012-2013	2011-2012	2012-2013	10.417242339391002
eext	2012-2013	2011-2012	2012-2013	11.17861880583977
junb	2019-2020	2012-2013	2019-2020	9.81090211500633
gene_53892	2011-2012	2010-2011	2011-2012	20.529352847410717
gene_53892	2015-2016	2014-2015	2015-2016	11.301133527464437
gene_171990	2011-2012	2010-2011	2011-2012	19.190001257755995
d53	2012-2013	2010-2011	2012-2013	12.302526840639773
gene_100154873	2015-2016	2014-2015	2015-2016	15.77060426349291
gene_49701	2011-2012	2010-2011	2011-2012	14.860231878283619
gene_57810	2011-2012	2010-2011	2011-2012	17.35008162516943
gene_10636	2017-2018	2016-2017	2017-2018	12.374706434897366
gacl3	2018-2019	2017-2018	2018-2019	15.704291629696321
gene_41885	2013-2014	2010-2011	2013-2014	12.543074631742101
skater	2011-2012	2010-2011	2011-2012	11.08543659747731
gene_80207	2018-2019	2014-2015	2018-2019	16.87310629532169
dpo4	2019-2020	2018-2019	2019-2020	16.524860482301097
ssl7	2017-2018	2015-2016	2017-2018	10.12639019679924
species_29520	2011-2012	2010-2011	2011-2012	10.3920026331068
species_29520	2019-2020	2018-2019	2019-2020	13.58668669517015
mxie	2011-2012	2010-2011	2011-2012	15.130102069304996
hypural	2017-2018	2016-2017	2017-2018	11.681606677634093
lacticin	2011-2012	2010-2011	2011-2012	12.248748328249967
gene_15965	2014-2015	2013-2014	2014-2015	10.945658457861798
gene_544149	2018-2019	2016-2017	2018-2019	20.97912825171789
gene_443529	2012-2013	2011-2012	2012-2013	10.582341574300099
gene_5118	2012-2013	2011-2012	2012-2013	13.48113733881749
gene_326152	2016-2017	2010-2011	2016-2017	25.112221781048717
pqse	2012-2013	2010-2011	2012-2013	11.362492673940602
gene_25894	2015-2016	2010-2011	2015-2016	13.19658190421887
gene_23046	2013-2014	2010-2011	2013-2014	13.781557227006033
gene_23046	2019-2020	2016-2017	2019-2020	18.47544043018293
gene_16005	2012-2013	2011-2012	2012-2013	9.837666315789454
phocid	2011-2012	2010-2011	2011-2012	11.226504548553718
ifsg	2019-2020	2018-2019	2019-2020	15.479415437943663
a117v	2012-2013	2011-2012	2012-2013	14.71702338513385
gene_140486	2019-2020	2018-2019	2019-2020	9.964691167560693
gene_9618	2012-2013	2011-2012	2012-2013	11.8531867213425
gene_41398	2012-2013	2011-2012	2012-2013	10.33403733688304
gene_851678	2011-2012	2010-2011	2011-2012	12.552984102794559
em-2	2011-2012	2010-2011	2011-2012	13.670428956930163
gene_852518	2018-2019	2017-2018	2018-2019	11.778418181781323
hdag	2015-2016	2011-2012	2015-2016	9.925425545737546
ehit	2020-2021	2019-2020	2020-2021	25.307133713925843
species_2534	2011-2012	2010-2011	2011-2012	14.474879081822458
gene_19277	2012-2013	2011-2012	2012-2013	11.928558566476644
gene_23837	2019-2020	2011-2012	2019-2020	11.162292304476164
33d1	2015-2016	2014-2015	2015-2016	14.703595428360165
wbe	2012-2013	2011-2012	2012-2013	18.035311228894333
gene_43797	2014-2015	2011-2012	2014-2015	10.923961794908202
species_157001	2015-2016	2014-2015	2015-2016	10.697917251138058
gene_43670	2012-2013	2011-2012	2012-2013	17.776726202020587
gene_43670	2015-2016	2014-2015	2015-2016	12.123670937277549
gene_4961474	2014-2015	2013-2014	2014-2015	13.7071398167287
gene_827481	2012-2013	2010-2011	2012-2013	18.685211841826607
gene_72836	2015-2016	2010-2011	2015-2016	18.802811912058072
2017	2016-2017	2010-2011	2016-2017	27.57036054629651
species_120576	2015-2016	2014-2015	2015-2016	16.24783922255669
olz	2018-2019	2016-2017	2018-2019	9.7979054306204
gene_14012	2019-2020	2017-2018	2019-2020	25.01351078953903
gefahr	2019-2020	2010-2011	2019-2020	10.362977530130918
individuo	2012-2013	2011-2012	2012-2013	10.274214069946954
unag	2012-2013	2011-2012	2012-2013	12.291477794898404
gene_83767	2014-2015	2013-2014	2014-2015	12.953728240980833
fviii	2012-2013	2011-2012	2012-2013	11.540666498021471
cica	2013-2014	2011-2012	2013-2014	10.93402635983144
schistosomiasis	2018-2019	2011-2012	2018-2019	17.321542643970172
gene_6539	2019-2020	2018-2019	2019-2020	10.673681646714494
heu	2011-2012	2010-2011	2011-2012	21.365924851487144
ch3hg+	2016-2017	2015-2016	2016-2017	11.02721365614995
shse	2012-2013	2011-2012	2012-2013	12.319146352390767
50l	2011-2012	2010-2011	2011-2012	15.084855656824319
lblp	2017-2018	2016-2017	2017-2018	13.682380638318357
dcpib	2018-2019	2017-2018	2018-2019	24.082002868283457
gene_1967	2013-2014	2011-2012	2013-2014	11.235905812897105
klk	2012-2013	2011-2012	2012-2013	17.00481146845874
pcell	2017-2018	2016-2017	2017-2018	10.739282272876574
gene_20724	2013-2014	2012-2013	2013-2014	22.13141780608342
ivf	2018-2019	2014-2015	2018-2019	14.803256253320495
gene_6695	2014-2015	2013-2014	2014-2015	11.408065665942203
hcovs	2019-2020	2014-2015	2019-2020	9.805488286713159
gene_373592	2018-2019	2016-2017	2018-2019	11.822816649050138
parietali	2014-2015	2013-2014	2014-2015	13.025834203866376
phea	2011-2012	2010-2011	2011-2012	10.124057352967558
gene_16993	2013-2014	2012-2013	2013-2014	12.590565481407534
activina	2018-2019	2017-2018	2018-2019	14.01586357623301
hfasd	2019-2020	2018-2019	2019-2020	12.288952441928723
rosr	2014-2015	2011-2012	2014-2015	15.975501809338901
poset	2015-2016	2014-2015	2015-2016	19.262931649064836
nilt	2011-2012	2010-2011	2011-2012	15.759817745549295
sanaga	2014-2015	2010-2011	2014-2015	9.998447936746917
hcpro	2018-2019	2017-2018	2018-2019	17.7560255187901
gene_17474	2013-2014	2012-2013	2013-2014	17.832789288528108
badr	2012-2013	2010-2011	2012-2013	13.28545598576563
gene_1224335	2015-2016	2014-2015	2015-2016	10.036879331890615
gob	2013-2014	2012-2013	2013-2014	14.593374037336682
cfra	2015-2016	2014-2015	2015-2016	10.310208055617478
lox-1	2011-2012	2010-2011	2011-2012	12.722660152357847
gene_64802	2011-2012	2010-2011	2011-2012	11.967437628551716
gene_210126	2016-2017	2015-2016	2016-2017	34.00113405420188
gene_210126	2018-2019	2017-2018	2018-2019	13.048868194491552
gene_5872	2014-2015	2013-2014	2014-2015	16.76783101783677
gene_178345	2012-2013	2011-2012	2012-2013	12.896650665900541
mico	2013-2014	2012-2013	2013-2014	10.884520287928684
adjudin	2018-2019	2017-2018	2018-2019	12.997880002066472
species_104628	2014-2015	2013-2014	2014-2015	10.404131005360382
gene_8664	2015-2016	2014-2015	2015-2016	12.153991866117021
gene_104151	2015-2016	2010-2011	2015-2016	12.263443739174685
carom	2015-2016	2014-2015	2015-2016	10.347076074748726
pm3b	2017-2018	2013-2014	2017-2018	10.282317238961358
odo	2011-2012	2010-2011	2011-2012	25.153096386094997
mdcm	2013-2014	2012-2013	2013-2014	13.854171981406928
prosociality	2011-2012	2010-2011	2011-2012	10.433539923528187
gene_211064	2011-2012	2010-2011	2011-2012	23.390117316865044
sarcopenia	2018-2019	2012-2013	2018-2019	13.285253344251675
iob	2017-2018	2016-2017	2017-2018	11.825768057291855
larvacean	2016-2017	2011-2012	2016-2017	13.812831829077522
gene_236511	2011-2012	2010-2011	2011-2012	11.45128881103162
rejuvenator	2015-2016	2014-2015	2015-2016	12.20789734173257
spiteful	2011-2012	2010-2011	2011-2012	12.813746883969365
gene_85333	2018-2019	2011-2012	2018-2019	10.297838853359806
gene_47384	2012-2013	2011-2012	2012-2013	10.367001716424388
gene_387146	2011-2012	2010-2011	2011-2012	12.832265787542276
gene_24826	2011-2012	2010-2011	2011-2012	12.701159461955886
gene_24826	2019-2020	2012-2013	2019-2020	12.076272322694777
ssef	2011-2012	2010-2011	2011-2012	10.728614161150777
species_694009	2019-2020	2014-2015	2019-2020	44.7662151879404
sevoflurane	2018-2019	2010-2011	2018-2019	12.399069682814034
gene_298696	2016-2017	2010-2011	2016-2017	12.651140782567857
nhase	2019-2020	2013-2014	2019-2020	20.970063175188987
kp1019	2016-2017	2010-2011	2016-2017	10.816526729461897
rep.	2014-2015	2011-2012	2014-2015	155.3917244944318
3ftx	2012-2013	2011-2012	2012-2013	13.515580981243453
gene_176743	2015-2016	2011-2012	2015-2016	10.571218816291724
gene_850584	2019-2020	2018-2019	2019-2020	11.318535666695201
vml	2011-2012	2010-2011	2011-2012	10.585638663841598
vml	2013-2014	2012-2013	2013-2014	10.786802597125224
cr5	2013-2014	2010-2011	2013-2014	13.84440314414901
hvla	2012-2013	2010-2011	2012-2013	13.879239160055976
sk2	2017-2018	2016-2017	2017-2018	12.874023177719575
gene_751809	2017-2018	2010-2011	2017-2018	11.11088330295476
gene_854016	2017-2018	2014-2015	2017-2018	11.256728547455014
-heme	2014-2015	2013-2014	2014-2015	11.332736077975085
gene_56946	2016-2017	2015-2016	2016-2017	12.513817165670487
dormice	2019-2020	2010-2011	2019-2020	10.98931170426862
p53beta	2012-2013	2011-2012	2012-2013	14.883029742509915
gene_51274	2018-2019	2017-2018	2018-2019	12.723203178950019
pitocin	2018-2019	2014-2015	2018-2019	21.097591077324832
azp	2011-2012	2010-2011	2011-2012	9.947301161392225
gene_23098	2012-2013	2011-2012	2012-2013	10.876701128587436
gene_11496	2017-2018	2010-2011	2017-2018	14.624481819772294
gene_11496	2020-2021	2019-2020	2020-2021	17.18251322924608
baha	2011-2012	2010-2011	2011-2012	13.349161466283013
gene_100005469	2011-2012	2010-2011	2011-2012	17.143338298170583
gene_827954	2011-2012	2010-2011	2011-2012	10.186280720768337
exfoxp3	2012-2013	2011-2012	2012-2013	11.744434928998881
oct4b1	2018-2019	2017-2018	2018-2019	11.345607517283563
gene_59036	2012-2013	2010-2011	2012-2013	15.677762205075098
gene_180311	2018-2019	2013-2014	2018-2019	13.15209103714553
apocam	2016-2017	2014-2015	2016-2017	12.424023290374498
gene_100271849	2012-2013	2011-2012	2012-2013	11.41961671226271
gene_19088	2020-2021	2019-2020	2020-2021	9.871047400248997
nlpe	2018-2019	2016-2017	2018-2019	16.272754302240696
nelfinavir	2019-2020	2010-2011	2019-2020	11.624885943866966
dach	2011-2012	2010-2011	2011-2012	10.138166792918238
ckar	2012-2013	2011-2012	2012-2013	10.69280088432858
gene_11409	2011-2012	2010-2011	2011-2012	11.930518495189137
hpmcs	2011-2012	2010-2011	2011-2012	11.241915651834919
cystitis	2018-2019	2013-2014	2018-2019	10.109570938258102
species_4084	2011-2012	2010-2011	2011-2012	16.23069893606467
rereplication	2015-2016	2014-2015	2015-2016	15.284521174335765
016	2015-2016	2010-2011	2015-2016	48.33791061505942
consulta	2012-2013	2011-2012	2012-2013	20.284055665708703
hematoma	2018-2019	2015-2016	2018-2019	10.519735595207752
gene_844765	2012-2013	2010-2011	2012-2013	11.99536065186502
gene_5151	2018-2019	2011-2012	2018-2019	10.843875943144448
pterosaur	2011-2012	2010-2011	2011-2012	18.620275708378962
gene_20909	2016-2017	2015-2016	2016-2017	14.51758094985322
piperonal	2015-2016	2014-2015	2015-2016	10.054669621255176
paramo	2011-2012	2010-2011	2011-2012	13.134163162867097
gene_56491	2012-2013	2011-2012	2012-2013	11.91280506264599
gene_852311	2011-2012	2010-2011	2011-2012	10.439439904824695
kama	2018-2019	2017-2018	2018-2019	17.15398466170414
nanochain	2013-2014	2012-2013	2013-2014	11.29936143838182
antar	2011-2012	2010-2011	2011-2012	10.967974090853113
gene_79658	2018-2019	2017-2018	2018-2019	22.132945509612245
species_42270	2018-2019	2013-2014	2018-2019	11.01560541810829
clytia	2019-2020	2011-2012	2019-2020	11.594279851485883
gene_54287	2015-2016	2011-2012	2015-2016	9.8670945405554
gene_68938	2013-2014	2011-2012	2013-2014	11.656057206547052
gene_407009	2012-2013	2011-2012	2012-2013	13.446496078801655
psrp	2015-2016	2013-2014	2015-2016	11.681125655268193
gene_395205	2011-2012	2010-2011	2011-2012	18.672954321710318
gene_26056	2019-2020	2018-2019	2019-2020	23.56245481491302
bcms	2014-2015	2013-2014	2014-2015	22.582772887683607
phnr	2015-2016	2013-2014	2015-2016	16.774483821750902
sdmc	2018-2019	2017-2018	2018-2019	13.969048961336622
gene_75705	2013-2014	2012-2013	2013-2014	11.065306922479113
rmva	2016-2017	2015-2016	2016-2017	17.51867976622447
lshs	2016-2017	2015-2016	2016-2017	12.202834891553797
gene_561970	2018-2019	2017-2018	2018-2019	26.311882671787803
gene_55729	2012-2013	2011-2012	2012-2013	11.293164758655047
decolourization	2015-2016	2014-2015	2015-2016	9.902132385445274
mathis	2011-2012	2010-2011	2011-2012	18.959789467896677
tbd1	2019-2020	2015-2016	2019-2020	11.901587996553468
pnv	2012-2013	2011-2012	2012-2013	16.509066120020442
mpanin	2015-2016	2014-2015	2015-2016	10.13919105980993
iccm	2011-2012	2010-2011	2011-2012	25.18730366997355
iccm	2013-2014	2012-2013	2013-2014	38.0249248387822
gene_175499	2017-2018	2016-2017	2017-2018	9.900568845120846
gene_816478	2017-2018	2016-2017	2017-2018	10.716372932187964
apex2	2016-2017	2012-2013	2016-2017	13.624923589566231
gene_30154	2012-2013	2010-2011	2012-2013	11.094235251795562
gene_41839	2012-2013	2011-2012	2012-2013	10.579586107790579
gene_853191	2016-2017	2015-2016	2016-2017	13.90525289556609
species_870	2016-2017	2015-2016	2016-2017	11.097069792622229
gene_9104	2012-2013	2011-2012	2012-2013	11.986557961762463
gene_57282	2014-2015	2013-2014	2014-2015	14.183158769297147
lpxd	2013-2014	2010-2011	2013-2014	12.311386801951098
gene_381677	2011-2012	2010-2011	2011-2012	13.427236966984674
gene_6512	2019-2020	2015-2016	2019-2020	13.61264119581441
toco	2017-2018	2016-2017	2017-2018	20.51736350669276
tpsf	2017-2018	2013-2014	2017-2018	12.427449483959089
erkrankung	2019-2020	2011-2012	2019-2020	10.961741877701662
amisulpride	2018-2019	2016-2017	2018-2019	18.928963858269658
gene_29765	2014-2015	2010-2011	2014-2015	11.350223825903392
buffon	2019-2020	2013-2014	2019-2020	16.087730238999608
gene_854060	2013-2014	2011-2012	2013-2014	11.17034152789971
gene_8208	2011-2012	2010-2011	2011-2012	12.064273004370897
pvat	2011-2012	2010-2011	2011-2012	16.906100128497485
ras1delta	2012-2013	2010-2011	2012-2013	11.306195275799725
gene_104844197	2018-2019	2017-2018	2018-2019	15.878107470783078
gene_850523	2013-2014	2012-2013	2013-2014	10.27182354901623
gene_850523	2017-2018	2016-2017	2017-2018	12.10061156229828
gene_55872	2014-2015	2013-2014	2014-2015	11.816722274903023
gene_79650	2019-2020	2010-2011	2019-2020	10.583027660714432
gene_432551	2014-2015	2010-2011	2014-2015	11.152074777872812
atpe	2012-2013	2011-2012	2012-2013	12.746834386321497
atpe	2015-2016	2014-2015	2015-2016	13.701344844974798
gene_9352	2012-2013	2011-2012	2012-2013	14.81354637848682
superinfected	2011-2012	2010-2011	2011-2012	12.819395333673226
hastv	2016-2017	2015-2016	2016-2017	13.493734898665885
glioma	2018-2019	2015-2016	2018-2019	11.579068024964018
gene_63943	2014-2015	2013-2014	2014-2015	17.894653237290946
gene_951	2011-2012	2010-2011	2011-2012	10.790660966282543
1400w	2018-2019	2017-2018	2018-2019	13.949283306851447
ugtp	2011-2012	2010-2011	2011-2012	31.221755189228737
pxd101	2012-2013	2011-2012	2012-2013	23.533439714333003
shiftworker	2018-2019	2017-2018	2018-2019	11.479805590508672
bcni	2016-2017	2015-2016	2016-2017	30.149157877981533
cbpm	2013-2014	2010-2011	2013-2014	11.760886743604242
gene_1159	2015-2016	2011-2012	2015-2016	10.34225501805125
gene_1159	2020-2021	2019-2020	2020-2021	14.362396509556257
gene_6478	2012-2013	2011-2012	2012-2013	11.040822945784607
gene_21676	2015-2016	2014-2015	2015-2016	13.166979434112793
gene_170719	2018-2019	2017-2018	2018-2019	42.06548299663228
sunfish	2015-2016	2014-2015	2015-2016	14.0565614961997
gene_856819	2014-2015	2011-2012	2014-2015	9.831070126174032
gene_55749	2012-2013	2011-2012	2012-2013	21.564841978490115
gene_79035	2013-2014	2010-2011	2013-2014	10.620227037120666
species_118655	2016-2017	2015-2016	2016-2017	17.454355914721855
sq20b	2011-2012	2010-2011	2011-2012	10.588555229108373
ornithischian	2011-2012	2010-2011	2011-2012	14.774448743431531
gene_817055	2012-2013	2010-2011	2012-2013	12.06163273213978
h1299	2018-2019	2015-2016	2018-2019	14.660665494951434
species_11303	2016-2017	2015-2016	2016-2017	15.618676182491507
-c8	2012-2013	2011-2012	2012-2013	11.001533808436632
gene_20392	2016-2017	2012-2013	2016-2017	11.713205530638414
estudo	2012-2013	2011-2012	2012-2013	23.75605741055232
gene_140828	2013-2014	2011-2012	2013-2014	10.49874821732897
gene_9855	2012-2013	2010-2011	2012-2013	11.16714261492606
gene_853583	2015-2016	2012-2013	2015-2016	10.344145271334165
a1atd	2019-2020	2018-2019	2019-2020	11.808876519871363
gene_18003	2011-2012	2010-2011	2011-2012	11.374352222450904
gene_45318	2012-2013	2011-2012	2012-2013	10.078068574207393
acek	2018-2019	2017-2018	2018-2019	12.681270409593868
appsbeta	2012-2013	2011-2012	2012-2013	10.006372809025178
gene_7851	2015-2016	2014-2015	2015-2016	34.45389247562012
bmel	2015-2016	2010-2011	2015-2016	12.327978353789605
gene_844194	2015-2016	2014-2015	2015-2016	24.877912385969967
rasmcs	2013-2014	2012-2013	2013-2014	10.711513668744942
cheyenne	2018-2019	2017-2018	2018-2019	11.24405682499459
tbiii	2015-2016	2014-2015	2015-2016	17.710070895179083
nanozyme	2013-2014	2012-2013	2013-2014	19.13427271294108
species_143453	2016-2017	2015-2016	2016-2017	19.329952647629472
essc	2015-2016	2014-2015	2015-2016	19.249570367410016
species_8409	2016-2017	2015-2016	2016-2017	14.690779789224097
vk1	2011-2012	2010-2011	2011-2012	11.83160235558045
vk1	2013-2014	2012-2013	2013-2014	17.492683908392078
gene_42881	2019-2020	2018-2019	2019-2020	18.540739680415626
gene_116565	2015-2016	2014-2015	2015-2016	12.285456940940161
cookstove	2011-2012	2010-2011	2011-2012	22.710686331423602
boma	2016-2017	2015-2016	2016-2017	10.869289533309713
gene_20882	2015-2016	2014-2015	2015-2016	17.2852105388309
gene_176438	2016-2017	2015-2016	2016-2017	11.127326439927216
gene_54418	2019-2020	2011-2012	2019-2020	14.482601916726217
nsp1	2012-2013	2010-2011	2012-2013	10.211273274067041
g(m	2011-2012	2010-2011	2011-2012	12.590755439990698
gene_853409	2012-2013	2011-2012	2012-2013	13.926239139907429
bxd2	2012-2013	2011-2012	2012-2013	19.137701581957703
